년도,분류,형태,제목,1저자,공저자,초록,키워드
2016,Clinical IT to Promote eHealth,Paper,Determining Optimal Nursing Resources in Relation to Functions During the Oulu University Hospital Nurse Staffing Management Project,Pia Liljamo,P?ivi Lavander and Pirjo Kejonen,"The Oulu University Hospital's staffing management project sought information on the number of nursing staff in relation to treatment days and visits, using existing indicators to describe the activities involved. The retrospective data obtained was compared to human resources and the personnel structure. On this basis an optimal number of staff was determined for the units, taking account of a range of explanatory indicator data. The project made use of the computational model for nurse staffing and the World Health Organisation's (WHO) Workload Indicators of Staffing Need (WISN) method. The project provided extensive information on human resources issues within the units. Its results indicated the differences between wards with respect to the number and structure of resources. In addition, the nurse administrators lacked skills in gathering and using data from administrative datasets. This information will provide support for the further development of nursing operations and nursing management decision-making.","Nursing staff, personnel staffing and scheduling, workload, WISNmodel, management information systems"
,,Paper,Making Patient Risk Visible: Implementation of a Nursing Document Information System to Improve Patient Safety,Panfeng Wang,"Hongjun Zhang, Baohua Li and Keke Lin","The aims of this study were to develop a nursing information system (NIS), enhance the visibility of patient risk, and identify challenges and facilitators to adoption of the NIS risk assessment system for nurse leaders. This article describes the function of a nursing risk assessment information system, and the results of a survey on the risk assessment system. The results suggested that quality of information processing in nursing significantly improved patient safety. Nurses surveyed demonstrated a high degree of satisfaction, with saving time and improving safety. The nursing document information system described was introduced to improve patient safety and decrease risk. The application of the system has greatly enhanced the efficiency of nursing work, and guides the nurses to make an accurate, comprehensive and objective assessment of patient information, contributing significantly to further improvement in care standards and care decisions.",Patient dynamic evaluation; Information system; Patient risk; Nursing assessment; Medical care.
,,Paper,Electronic Nursing Documentation: Patient Care Continuity Using the Clinical Care Classification System (CCC),Luann Whittenburg,Aunchisa Meetim,"An innovative nursing documentation project conducted at Bumrungrad International Hospital in Bangkok, Thailand demonstrated patient care continuity between nursing patient assessments and nursing Plans of Care using the Clinical Care Classification System (CCC). The project developed a new generation of interactive nursing Plans of Care using the six steps of the American Nurses Association (ANA) Nursing process and the MEDCIN® clinical knowledgebase to present CCC coded concepts as a natural by-product of a nurse’s documentation process. The MEDCIN® clinical knowledgebase is a standardized point-of-care terminology intended for use in electronic health record systems. The CCC is an ANA recognized nursing terminology","Continuity Care, Nursing Informatics, Electronic Documentation, Clinical Care Classification System, CCC"
,,Paper,Transforming Clinical Documentation in EHRs for 2020: Recommendations from University of Minnesota’s Big Data Conference Working Group,Charlotte Weaver,Ann O’Brien,"In 2014, a group of diverse informatics leaders from practice, academia, and the software industry formed to address how best to transform electronic documentation to provide knowledge at the point of care and to deliver value to front line nurses and nurse leaders. This presentation reports the recommendations from this Working Group geared towards a 2020 framework. The recommendations propose redesign to optimize nurses’ documentation efficiency while contributing to knowledge generation and attaining a balance that ensures the capture of nursing’s impact on safety, quality, yet minimizes “death by data entry.”","clinical decision support, EHR, best practice, nursing documentation, nursing informatics"
,,Paper,Nurses’ Information Seeking Behavior for Clinical Practice: A Case Study in a Developing Country,Masoumeh Sarbaz,"Khalil Kimiafar, Abbas Sheikhtaheri, Zhila Taherzadeh and Saeid Eslami","We used a valid questionnaire to survey Iranian nurses’ seeking information behavior and their confidence on different information sources. The frequently used sources were Internet” and “personal experiences”(54.8% and 48.2% respectively). English medical journals” (61.9%) and “English textbooks” (41.3%) were the least frequently used sources. Nurses felt high confidence in sources such as “International instructions/guidelines” (58.6%) and “English medical textbooks” (50.4%). The main reasons for selecting sources were easy accessibility, being up to date and reliability. Google, Pubmed and Up to Date were the most used electronic sources. In addition, there were differences in terms of using some of these resources and nurse’ age and gender. In developing information sources for nurses, factors such as reliability level, availability, and updatedness of resources should be more emphasized.","nurse, evidence based practice, information, information seeking"
,,Paper,Homecare Nurses’ Decision-Making During Admission Care Planning,Paulina Sockolow,"Ellen J. Bass, Carl L. Eberle and Kathryn H. Bowles","The re-hospitalization rate of homecare patients within 60 days of hospital discharge is 30%. Enhanced care planning based on better information may reduce this rate. However, very little is known about the homecare admission and care planning processes. The research team collected data during observations of three nursing visits to admit homecare patients in Camden NJ, and conducted thematic content analysis on these data. Human factors methods helped to identify nurse decision-making related to selection of the plan of care problems, non-nursing resources, and the nursing visit pattern. They identified how the electronic health record (EHR) assisted the nurse in visit pattern frequency decisions. Major themes that emerged included reduced efficiency due to use of redundant intra-team communication methods to augment EHR documentation, redundant documentation, and workarounds and reorganization of clinical workflow.",Evaluation studies; technology evaluation; clinical information systems; patient care team; aged; homecare.
,,Paper,Online Information Seeking Behaviour by Nurses and Physicians: A Cross-Sectional Study,Paschalina Lialiou,John Mantas,"Online bibliographic databases constitute the access to information supporting evidence-based practice. The purpose of the present survey is to evaluate the awareness, the use and the impact that online evidences have in clinical practice. An online survey was conducted using a 25 item questionnaire which was completed by 263 healthcare practitioners (nurses and doctors). Chisquare analysis and t-tests were used and comparisons between both groups were made. Multiple logistic regression to predict databases use was employed. Ninetythree percent (n=206) of participants had heard about the online bibliographic databases; 5.7% of participant sample have heard about online databases but they do not use them. 18.3% was the total sample of non-users(n=48). The main reason of using was filling a knowledge gap (50.7%), and the main reasons of not using were both that they use another information source and they don’t need them to do their job. Both nurses and doctors believe that the use of online databases improves patient care it is a part of their legitimate clinical role. They need more training to improve their searching skills, enhancing them in everyday clinical place.","Online evidence, online bibliographic databases, information retrieval, use of evidence."
,,Paper,Studying the HIT-Complexity Interchange,Craig E. Kuziemsky,Elizabeth M. Borycki and Andre W. Kushniruk,"The design and implementation of health information technology (HIT) is challenging, particularly when it is being introduced into complex settings. While complex adaptive system (CASs) can be a valuable means of understanding relationships between users, HIT and tasks, much of the existing work using CASs is descriptive in nature. This paper addresses that issue by integrating a model for analyzing task complexity with approaches for HIT evaluation and systems analysis. The resulting framework classifies HIT-user tasks and issues as simple, complicated or complex, and provides insight on how to study them.","Complexity, health information technology, usability testing, clinical simulation, naturalistic observations, technology-induced errors"
,,Paper,Competency Skills Assessment: Successes and Areas for Improvement Identified During Collaboration Between Informaticists and a National Organization,Carolyn Sipes,"Kathy Hunter, Dee McGonigle, Toni Hebda, Taryn Hill and Jean Lamblin",The Association of periOperative Registered Nurses (AORN) approached the Nursing Informatics Research Team (NIRT) with a request to collaborate and conduct a competency assessment for their organization. An online tool was developed to determine current technology in perioperative settings. This presentation shares the process used to conduct research that led to a method for assessing perioperative nurses’ competencies skills in their practice as well as identified gaps in curricula that faculty could address. Both successes and areas for improvement are detailed. The outcome of the process demonstrated a need to understand what skills are being assessed as AORN did not know what technology existed or how existing equipment was being used.,"Informatics, competencies, technology assessment, competency skills self-assessment"
,,Paper,Promoting mHealth in Nursing Practice in China,Yisi Liu,Ying Wu and Yang Gong,"The purpose of this project was to reveal the status quo of mHealth application in clinical settings in China, especially in reducing patient falls and pressure ulcers and discuss how patient safety could be enhanced in the context of global collaboration on patient safety. The literature search resulted in a total of 290 articles. A steady increase is witnessed in the field of mHealth, especially after the year 2010. Personal digital assistant and electronic cart are the two main devices used in mobile nursing workstation. mHealth was mainly focused on two clinical areas, nursing practice (60.69%) and nursing management (25.86%). mHealth has begun to change the way of nursing process in prevention of adverse nurse events with an encouraging results in reducing the rate of pressure ulcer and falls.Healthcare educators should fully recognize the characteristics of mHealth and enhance a clinical informatics component in the curricula.","mHealth, Patient Safety, Fall, Pressure Ulcer, Nursing Informatics Education"
,,Paper,A Quantitative Study Investigating the Effects of Computerised Clinical Decision Support in the Emergency Department,Paula Bennett,Nicholas Hardiker,"This paper describes the evaluation of a computerized clinical decision support system (CCDSS) for Emergency Department (ED) triage. The CCDSS for triage was developed as a means to improve ED quality and safety. Whilst there is significant research on the role of CCDSS in health care, their role in EDs remains under-investigated. In this study, a CCDSS for ED triage was developed and evaluated using a quasi-experimental interrupted time-series design. Data was collected at four time points before and after the introduction of the CCDSS to assess key aspects of quality and safety within the ED. The results demonstrated a statistically significant improvement in triage prioritization (p<0.001), pain scoring (p<0.001) and pain management (p<0.001). This study clearly identifies the positive clinical impact that a CCDSS can have on quality and safety for ED patients and provides a unique contribution to the current knowledge base. ","Emergency Department, triage, clinical decision-support, CCDSS, interrupted time-series"
,,Paper,An Analysis of the Factor Model on the Workload of Nursing Staff Using a Hospital Management Tool,Kikue Sato,"Koji Yamashita, Mituko Goshima, Tomohiro Kuroda, Yasutomi Kinosada and Akitoshi Seiyama","We developed a tool that allows a medical facility to offer efficient nursing care with limited human resources by optimizing the distribution of hospital ward nursing tasks. The use of information and communications technology to visualize daily workloads and make use of quantified workload data is important for identifying management elements that allow the efficient allocation of personnel and tasks. The goal of this study was to utilize data from the ward management tool that we developed to consider workflow processes for nursing staff and the relationships between the nursing competence of the nursing staff and the patients' conditions and how these impact on workloads. We found a correlation between workload and staff competence. With respect to the teamwork index and patient condition, structural equation modeling analysis using the intensity of nursing care needs and degree of independent daily living showed that patient condition had a meaningful effect on workload.","Workload, staff assignment, nursing competence, ICT tool, structural equation modeling."
,,Paper,Measuring Nursing Value from the Electronic Health Record,John M. Welton,Ellen M. Harper,"We report the findings of a big data nursing value expert group made up of 14 members of the nursing informatics, leadership, academic and research communities within the United States tasked with 1. Defining nursing value, 2. Developing a common data model and metrics for nursing care value, and 3. Developing nursing business intelligence tools using the nursing value data set. This work is a component of the Big Data and Nursing Knowledge Development conference series sponsored by the University Of Minnesota School Of Nursing. The panel met by conference calls for fourteen 1.5 hour sessions for a total of 21 total hours of interaction from August 2014 through May 2015. Primary deliverables from the bit data expert group were: development and publication of definitions and metrics for nursing value; construction of a common data model to extract key data from electronic health records; and measures of nursing costs and finance to provide a basis for developing nursing business intelligence and analysis systems.",Common Data Model; Nursing Value; Nursing Business Intelligence and Analytics; Big Data
,,Paper,Biometric Attendance and Big Data Analysis for Optimizing Work Processes,Neetu Verma,Teenu Xavier and Deepak Agrawal,"Although biometric attendance management is available, large healthcare organizations have difficulty in big data analysis for optimization of work processes. The aim of this project was to assess the implementation of a biometric attendance system and its utility following big data analysis. In this prospective study the implementation of biometric system was evaluated over 3 month period at our institution. Software integration with other existing systems for data analysis was also evaluated. Implementation of the biometric system could be successfully done over a two month period with enrollment of 10,000 employees into the system. However generating reports and taking action this large number of staff was a challenge. For this purpose software was made for capturing the duty roster of each employee and integrating it with the biometric system and adding an SMS gateway. This helped in automating the process of sending SMSs to each employee who had not signed in. Standalone biometric systems have limited functionality in large organizations unless it is meshed with employee duty roster.","Biometric attendance, software, big data analysis"
,,Paper,Networking Hospital ePrescribing: A Systemic View of Digitalization of Medicines’ Use in England,Valentina Lichtner,Ralph Hibberd and Tony Cornford,"Medicine management is at the core of hospital care and digitalization of prescribing and administration of medicines is often the focus of attention of health IT programs. This may be conveyed to the public in terms of the elimination of paper-based drug charts and increased readability of doctors’ prescriptions. Based on analysis of documents about hospital medicines supply and use (including systems’ implementation) in the UK, in this conceptual paper electronic prescribing and administration are repositioned as only one aspect of an important wider transformation in medicine management in hospital settings, involving, for example, procurement, dispensing, auditing, waste management, research and safety vigilance. Approaching digitalization from a systemic perspective has the potential to uncover the wider implications of this transformation for patients, the organization and the wider health care system.","ePrescribing, CPOE, innovation, transformational change, value"
,,Paper,Evaluating Nurses Acceptance of Hospital Information Systems: A Case Study of a Tertiary Care Hospital,Mohamed Khalifa,,"This study aims at evaluating hospital information systems (HIS) acceptance factors among nurses, in order to provide suggestions for successful HIS implementation. The study used mainly quantitative survey methods to collect data directly from nurses through a questionnaire. The availability of computers in the hospital was one of the most influential factors, with a special emphasis on the unavailability of laptop computers and computers on wheels to facilitate immediate data entry and retrieval when nurses are at the point of care. Nurses believed that HIS might frequently slow down the process of care delivery and increase the time spent by patients inside the hospital especially during slow performance and responsiveness phases. Recommendations were classified into three main areas; improving system performance and availability of computers in the hospital, increasing organizational support in the form of providing training and protected time for nurses’ to learn and enhancing users’ feedback by listening to their complaints and considering their suggestions.","Hospital Information Systems, Acceptance, Satisfaction, Nurses."
,,Paper,Using Mixed Methods in Health Information Technology Evaluation,Paulina Sockolow,"Dawn Dowding, Rebecca Randell and Jesus Favela","With the increasing adoption of interactive systems in healthcare, there is a need to ensure that the benefits of such systems are formally evaluated. Traditionally quantitative research approaches have been used to gather evidence on measurable outcomes of health technology. Qualitative approaches have also been used to analyze how or why particular interventions did or did not work in specific healthcare contexts. Mixed methods research provides a framework for carrying out both quantitative and qualitative approaches within a single research study. In this paper an international group of four informatics scholars illustrate some of the benefits and challenges of using mixed methods in evaluation. The diversity of the research experience provides a broad overview of approaches in combining robust analysis of outcome data with qualitative methods that provide an understanding of the processes through which, and the contexts in which, those outcomes are achieved. This paper discussed the benefits that mixed methods brought to each study.","Mixed methods, evaluation studies, health information technology, interactive systems"
,,Paper,The Evaluation Imperative,Lynn M. Nagle,,"With the advent of wide scale adoption and use of clinical information systems and other technologies to support the delivery of healthcare services, the inclusion of iterative evaluation is an often overlooked but important component of project management. In this paper, it is proffered that the evaluation process should be an imperative and initiated at the outset of the design and implementation of clinical information systems including any single component of hardware or software. Ideally, methods of evaluation should be multi-faceted, include formative and summative evaluation approaches and include a range of metrics that will provide organizations with insight to process and technology efficiency and effectiveness as well as human and financial impacts.","Evaluation, clinical information systems, benefits realization, implementation, adoption."
,,Paper,User-Centered Design Practices to Redesign a Nursing e-Chart in Line with the Nursing Process,Mar?a B. Schachner,"Francisco J. Recondo, Zulma A. Gonz?lez, Janine A. Sommer, Enrique Stanziola, Fernando D. Gassino, Mariana Sim?n, Gast?n E. L?pez and Sonia E. Ben?tez","Regarding the user-centered design (UCD) practices carried out at Hospital Italiano of Buenos Aires, nursing e-chart user interface was redesigned in order to improve records` quality of nursing process based on an adapted Virginia Henderson theoretical model and patient safety standards to fulfil Joint Commission accreditation requirements. UCD practices were applied as standardized and recommended for electronic medical records usability evaluation. Implementation of these practices yielded a series of prototypes in 5 iterative cycles of incremental improvements to achieve goals of usability which were used and perceived as satisfactory by general care nurses. Nurses` involvement allowed balance between their needs and institution requirements.","nursing record, nurse e-chart, user-centered design, user interface design, nursing process"
,,Paper,Using Clinical Decision Support and Dashboard Technology to Improve Heart Team Efficiency and Accuracy in a Transcatheter Aortic Valve Implantation (TAVI) Program,Sarah Clarke,Marisa L. Wilson and Mary Terhaar,"Heart Team meetings are becoming the model of care for patients undergoing transcatheter aortic valve implantations (TAVI) worldwide. While Heart Teams have potential to improve the quality of patient care, the volume of patient data processed during the meeting is large, variable, and comes from different sources. Thus, consolidation is difficult. Also, meetings impose substantial time constraints on the members and financial pressure on the institution. We describe a clinical decision support system (CDSS) designed to assist the experts in treatment selection decisions in the Heart Team. Development of the algorithms and visualization strategy required a multifaceted approach and end-user involvement. An innovative feature is its ability to utilize algorithms to consolidate data and provide clinically useful information to inform the treatment decision. The data are integrated using algorithms and rule-based alert systems to improve efficiency, accuracy, and usability. Future research should focus on determining if this CDSS improves patient selection and patient outcomes.",Computerized Decision Support; Heart Team; Medical Informatics; TAVI; user-computer interface
,,Paper,Enhancing Patient Safety Using Clinical Nursing Data: A Pilot Study,Jeeyae Choi,Jeungok E. Choi,"To enhance patient safety from falls, many hospital information systems have been implemented to collect clinical data from the bedside and have used the information to improve fall prevention care. However, most of them use administrative data not clinical nursing data. This necessitated the development of a web-based Nursing Practice and Research Information Management System (NPRIMS) that processes clinical nursing data to measure nurses’ delivery of fall prevention care and its impact on patient outcomes. This pilot study developed computer algorithms based on a falls prevention protocol and programmed the prototype NPRIMS. It successfully measured the performance of nursing care delivered and its impact on patient outcomes using clinical nursing data from the study site. Results of the study revealed that NPRIMS has the potential to pinpoint components of nursing processes that are in need of improvement for preventing patient from falls.","Quality improvement, nursing care, health information systems, delivery of nursing care"
,,Paper,The Integrated Patient’s Self-Care Process Model,Marija Milavec Kapun,Olga ?uster?i? and Vladislav Rajkovi?,"Long-term care is more efficient and effective when it involves the active participation of the empowered patient and informal caregivers. To achieve this, it is necessary to guide the patient and informal caregivers through the systematic process of self-care. Well-documented observations and assessments are fundamental to plan further interventions of the interdisciplinary team. A systematic literature review revealed that the self-care process and the support of information technology are focused on just one chronic disease. Defined self-care process has a positive impact on the functionality and satisfaction of patients with comorbidity and on their caregivers. The model of the patient’s self-care process should be an integral part of the long-term care.","long-term care, self-care, process, model, patient, chronic disease"
